Date,Close
10/9/2013,16.620001
10/10/2013,16.93
10/11/2013,17.110001
10/14/2013,17.18
10/15/2013,16.969999
10/16/2013,17.290001
10/17/2013,17.459999
10/18/2013,17.530001
10/21/2013,17.5
10/22/2013,17.6
10/23/2013,17.52
10/24/2013,17.76
10/25/2013,17.6
10/28/2013,17.57
10/29/2013,17.610001
10/30/2013,17.34
10/31/2013,17.110001
11/1/2013,16.889999
11/4/2013,17
11/5/2013,17.09
11/6/2013,16.91
11/7/2013,16.549999
11/8/2013,16.85
11/11/2013,16.889999
11/12/2013,16.719999
11/13/2013,17.1
11/14/2013,17.09
11/15/2013,17.07
11/18/2013,16.98
11/19/2013,16.870001
11/20/2013,16.92
11/21/2013,17.09
11/22/2013,17.01
11/25/2013,16.940001
11/26/2013,16.870001
11/27/2013,17.030001
11/29/2013,17.08
12/2/2013,17.059999
12/3/2013,16.559999
12/4/2013,16.620001
12/5/2013,16.74
12/6/2013,16.700001
12/9/2013,16.559999
12/10/2013,16.530001
12/11/2013,16.41
12/12/2013,16.389999
12/13/2013,16.59
12/16/2013,16.860001
12/17/2013,16.700001
12/18/2013,15.65
12/19/2013,15.3
12/20/2013,15.42
12/23/2013,15.15
12/24/2013,15.19
12/26/2013,15.33
12/27/2013,15.3
12/30/2013,15.28
12/31/2013,15.43
